flutes;oboe_d_amore;oboe_da_caccia;soprano;alto;tenor;bass;organ;measure;composer;corpus
[('P', 1.5)];[('P', 1.5)];[('P', 1.5)];[['G5', 1.5]];[['B4', 1.5]];[['D4', 1.5]];[['G3', 1.5]];[['G3', 0.75], ['B3', 0.25], ['D4', 0.5]];0;bach;bwv248.23-2
[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[['F#5', 1.5], ['E5', 1.5], ['F#5', 1.5], ['D5', 1.5]];[['A4', 1.5], ['B4', 1.0], ['A4', 0.5], ['A4', 1.5], ['G4', 1.5]];[['D4', 1.5], ['D4', 1.0], ['C#4', 0.5], ['D4', 1.0], ['C4', 0.5], ['C4', 1.0], ['B3', 0.5]];[['D4', 1.5], ['G3', 1.0], ['A3', 0.5], ['D3', 1.5], ['G3', 1.5]];[['D4', 0.75], ['C#4', 0.25], ['D4', 0.5], ['G3', 0.75], ['E3', 0.25], ['A3', 0.5], ['D3', 0.75], ['E3', 0.25], ['F#3', 0.5], ['G3', 0.75], ['F#3', 0.25], ['G3', 0.5]];1;bach;bwv248.23-2
[('P', 3.0), ['B5', 1.0], ['A5', 0.5], ['A5', 1.0], ['G5', 0.5]];[];[];[['E5', 1.5], ['F#5', 1.5], ['G5', 1.5], ('P', 1.5)];[['G4', 1.0], ['C5', 0.5], ['B4', 1.0], ['A4', 0.5], ['B4', 1.5], ('P', 1.5)];[['B3', 1.0], ['A3', 0.5], ['D4', 1.5], ['D4', 1.5], ('P', 1.5)];[['C3', 1.5], ['D3', 1.5], ['G2', 1.5], ('P', 1.5)];[['C3', 0.75], ['B2', 0.25], ['C3', 0.5], ['D3', 0.75], ['C3', 0.25], ['D3', 0.5], ['G2', 1.5], ('P', 1.5)];2;bach;bwv248.23-2
[['G5', 0.75], ['E6', 0.25], ['D6', 0.5], ['D6', 0.75], ['G5', 0.25], ['F#5', 0.5], ['G5', 0.75], ['E6', 0.25], ['D6', 0.5], ['D6', 0.75], ['G5', 0.25], ['F#5', 0.5]];[];[];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];3;bach;bwv248.23-2
[['G5', 1.5], ('P', 1.5), ('P', 3.0)];[];[];[('P', 1.0), ('P', 0.5), ['G5', 1.5], ['G5', 1.5], ['D5', 1.5]];[('P', 1.0), ('P', 0.5), ['B4', 1.5], ['B4', 1.5], ['B4', 1.5]];[('P', 1.0), ('P', 0.5), ['D4', 1.5], ['E4', 1.5], ['F#4', 1.0], ['G4', 0.5]];[('P', 1.0), ('P', 0.5), ['G3', 1.0], ['F#3', 0.5], ['E3', 1.5], ['B3', 1.5]];[('P', 1.0), ('P', 0.5), ['G2', 0.75], ['B2', 0.25], ['E3', 0.5], ['E3', 0.75], ['D3', 0.25], ['E3', 0.5], ['B2', 0.75], ['D3', 0.25], ['F#3', 0.5]];4;bach;bwv248.23-2
[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[['D5', 1.0], ['C5', 0.5], ['B4', 1.0], ['C5', 0.5], ['D5', 1.5], ['C5', 1.5]];[['A4', 1.5], ['G4', 1.5], ['A4', 1.0], ['E4', 0.5], ['E4', 0.75], ['G4', 0.25], ['F#4', 0.5]];[['D4', 1.5], ['D4', 1.0], ['E4', 0.5], ['A3', 1.0], ['B3', 0.5], ['C4', 0.75], ['E4', 0.25], ['D#4', 0.5]];[['F#3', 1.5], ['G3', 1.0], ['E3', 0.5], ['F#3', 1.0], ['G#3', 0.5], ['A3', 1.5]];[['F#3', 0.75], ['E3', 0.25], ['F#3', 0.5], ['G3', 0.75], ['F#3', 0.25], ['E3', 0.5], ['F#3', 0.75], ['A3', 0.25], ['G#3', 0.5], ['A3', 1.0], ['A2', 0.5]];5;bach;bwv248.23-2
[['G5', 1.0], ['F#5', 0.5], ['F#5', 1.0], ['E5', 0.5], ['E5', 0.75], ['C6', 0.25], ['B5', 0.5], ['B5', 0.75], ['E5', 0.25], ['D#5', 0.5]];[];[];[['B4', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['G4', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['E4', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['E3', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['E3', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];6;bach;bwv248.23-2
[['E5', 0.75], ['C6', 0.25], ['B5', 0.5], ['B5', 0.75], ['E5', 0.25], ['D#5', 0.5], ['E5', 1.5], ('P', 1.5)];[];[];[('P', 3.0), ('P', 1.5), ['B4', 1.5]];[('P', 3.0), ('P', 1.5), ['G4', 1.5]];[('P', 3.0), ('P', 1.5), ['E4', 1.5]];[('P', 3.0), ('P', 1.5), ['E3', 1.0], ['D3', 0.5]];[('P', 3.0), ('P', 1.5), ['E3', 0.75], ['D3', 0.25], ['E3', 0.5]];7;bach;bwv248.23-2
[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[['E5', 1.5], ['E5', 1.5], ['D5', 1.0], ['E5', 0.5], ['F#5', 1.5]];[['G4', 1.5], ['G4', 1.0], ['A4', 0.5], ['B4', 1.0], ['A4', 0.5], ['A4', 1.0], ['B4', 0.5]];[['E4', 1.0], ['D4', 0.5], ['C4', 1.5], ['B3', 1.0], ['C#4', 0.5], ['D4', 1.5]];[['C3', 1.0], ['D3', 0.5], ['E3', 1.0], ['C3', 0.5], ['G3', 1.5], ['F#3', 1.0], ['B3', 0.5]];[['C3', 0.75], ['E3', 0.25], ['G3', 0.5], ['G3', 0.75], ['F#3', 0.25], ['G3', 0.5], ['G2', 0.75], ['B2', 0.25], ['D3', 0.5], ['D3', 0.75], ['C#3', 0.25], ['D3', 0.5]];8;bach;bwv248.23-2
[('P', 3.0), ['F#5', 1.0], ['E5', 0.5], ['E5', 1.0], ['D5', 0.5]];[];[];[['G5', 1.0], ['F#5', 0.5], ['E5', 1.5], ['D5', 1.5], ('P', 1.5)];[['B4', 1.0], ['A4', 0.5], ['B4', 1.0], ['A4', 0.5], ['A4', 1.5], ('P', 1.5)];[['G3', 1.0], ['D4', 0.5], ['D4', 1.0], ['C#4', 0.5], ['F#4', 1.5], ('P', 1.5)];[['E3', 1.0], ['F#3', 0.5], ['G3', 1.0], ['A3', 0.5], ['D3', 1.5], ('P', 1.5)];[['E2', 0.75], ['C#3', 0.25], ['D3', 0.5], ['G2', 0.75], ['E2', 0.25], ['A2', 0.5], ['D2', 1.5], ('P', 1.5)];9;bach;bwv248.23-2
[['D5', 0.75], ['B5', 0.25], ['A5', 0.5], ['A5', 0.75], ['D5', 0.25], ['C#5', 0.5], ['D5', 0.75], ['B5', 0.25], ['A5', 0.5], ['A5', 0.75], ['D5', 0.25], ['C#5', 0.5]];[];[];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];10;bach;bwv248.23-2
[['D5', 1.5], ('P', 1.5), ('P', 3.0)];[];[];[('P', 1.0), ('P', 0.5), ['G5', 1.5], ['F#5', 1.5], ['E5', 1.5]];[('P', 1.0), ('P', 0.5), ['B4', 1.5], ['C5', 1.0], ['B4', 0.5], ['B4', 1.0], ['A4', 0.5]];[('P', 1.5), ['E4', 1.5], ['E4', 1.0], ['D4', 0.5], ['D4', 1.0], ['C4', 0.5]];[('P', 1.5), ['E3', 1.0], ['G3', 0.5], ['A3', 1.0], ['B3', 0.5], ['G3', 1.0], ['A3', 0.5]];[('P', 1.5), ['E3', 0.75], ['F#3', 0.25], ['G3', 0.5], ['A3', 0.75], ['F#3', 0.25], ['B3', 0.5], ['G3', 0.75], ['E3', 0.25], ['A3', 0.5]];11;bach;bwv248.23-2
[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[['D5', 1.5], ['E5', 1.0], ['D5', 0.5], ['C5', 1.0], ['B4', 0.5], ['A4', 1.5]];[['A4', 1.0], ['G4', 0.5], ['G4', 1.5], ['G4', 1.5], ['G4', 1.0], ['F#4', 0.5]];[['C4', 1.0], ['B3', 0.5], ['C4', 1.0], ['B3', 0.5], ['C4', 1.0], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5]];[['F#3', 1.0], ['G3', 0.5], ['C3', 1.0], ['D3', 0.5], ['E3', 1.0], ['D3', 0.5], ['C3', 1.0], ['D3', 0.5]];[['F#3', 0.75], ['C3', 0.25], ['G3', 0.5], ['C3', 0.75], ['E3', 0.25], ['G3', 0.5], ['G3', 0.75], ['F#3', 0.25], ['G3', 0.5], ['C3', 0.75], ['A2', 0.25], ['D3', 0.5]];12;bach;bwv248.23-2
[['B5', 1.0], ['A5', 0.5], ['A5', 1.0], ['G5', 0.5], ['G5', 0.75], ['E6', 0.25], ['D6', 0.5], ['D6', 0.75], ['G5', 0.25], ['F#5', 0.5]];[];[];[['G4', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['D4', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['B3', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['G2', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];[['G2', 1.5], ('P', 1.5), ('P', 1.5), ('P', 1.5)];13;bach;bwv248.23-2
[['G5', 0.75], ['E6', 0.25], ['D6', 0.5], ['D6', 0.75], ['G5', 0.25], ['F#5', 0.5], ['G5', 3.0]];[];[];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];[('P', 6.0)];14;bach;bwv248.23-2
